Fecha_Hora,Tipo_Mensaje,ID_Nodo,Msg_ID,Paquetes_Perdidos,Perdida_%,Hum_Local_%,Hum_Global_%,Urgencia_Riego,Estado_CNP,Valvula,Temp_C,Luz_%,Estres_Evap,Nivel_Tanque_%,Vecinos_Red,Alerta_Sensor,Alerta_Valvula,Latencia_Subasta_ms,Error_Cuadratico_Consenso,Violacion_Exclusion_Mutua,Tiempo_Recuperacion_s,Consumo_Estimado_mAh
2026-07-02 19:41:56,consenso,3895648541,106511,0,0.0,82,91.43,16.75,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,88.929,NO,N/A,0.036873
2026-07-02 19:41:56,consenso,145078341,106512,0,0.0,74,93.06,17.18,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,363.2116,NO,N/A,0.06096
2026-07-02 19:41:57,consenso,3361403025,106511,0,0.0,89,91.24,15.56,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,5.029,NO,N/A,0.058721
2026-07-02 19:41:58,consenso,3895648541,106512,0,0.0,82,91.79,16.75,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,95.8496,NO,N/A,0.055424
2026-07-02 19:41:58,consenso,145078341,106513,0,0.0,74,92.29,17.18,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,334.4239,NO,N/A,0.05392
2026-07-02 19:41:59,consenso,3361403025,106512,0,0.0,90,92.14,15.56,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,4.5824,NO,N/A,0.052292
2026-07-02 19:42:00,consenso,145078341,106514,0,0.0,71,90.63,15.94,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,385.1944,NO,N/A,0.050506
2026-07-02 19:42:00,consenso,3895648541,106513,0,0.0,81,91.5,17.18,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,110.2945,NO,N/A,0.062973
2026-07-02 19:42:01,consenso,3361403025,106513,0,0.0,90,91.6,15.56,0,0,18.8,0,7.78,41.33556,2,False,False,N/A,2.5678,NO,N/A,0.056146
2026-07-02 19:42:02,consenso,3895648541,106514,0,0.0,82,91.81,16.75,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,96.2022,NO,N/A,0.057508
2026-07-02 19:42:02,consenso,145078341,106515,0,0.0,70,90.67,15.56,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,427.0778,NO,N/A,0.069573
2026-07-02 19:42:03,consenso,3361403025,106514,0,0.0,89,90.92,15.56,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,3.6854,NO,N/A,0.05673
2026-07-02 19:42:04,consenso,3895648541,106515,0,0.0,81,90.8,17.18,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,96.0506,NO,N/A,0.046835
2026-07-02 19:42:04,consenso,145078341,106516,0,0.0,71,91.26,15.94,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,410.5888,NO,N/A,0.062659
2026-07-02 19:42:05,consenso,3361403025,106515,0,0.0,90,91.48,15.56,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,2.1779,NO,N/A,0.056883
2026-07-02 19:42:06,consenso,3895648541,106516,0,0.0,82,91.58,16.75,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,91.8715,NO,N/A,0.05481
2026-07-02 19:42:06,consenso,145078341,106517,0,0.0,72,91.9,16.33,0,0,18.3,0,7.78,41.33556,2,False,False,N/A,395.8779,NO,N/A,0.039254
2026-07-02 19:42:07,consenso,3361403025,106516,0,0.0,91,92.11,15.56,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,1.2283,NO,N/A,0.054578
2026-07-02 19:42:08,consenso,3895648541,106517,0,0.0,81,91.29,17.18,0,0,18.7,0,7.78,41.33556,2,False,False,N/A,105.9607,NO,N/A,0.056766
